date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:31:55	125219/125219	---M-Z	200	added ('OK')	text/html	etag:%221e923-5c478796405d4-gzip%22	https://www.tegra.hu/themes/muvee/templates/blue/index.html	C:/Users/pc/Desktop/dzdzdzdzd/www.tegra.hu/themes/muvee/templates/blue/index.html	(from )
14:31:56	6068/6068	---M--	404	error ('Not%20Found')	text/html	etag:%2217b4-5bcbba676677a%22	https://www.tegra.hu/robots.txt		(from )
14:31:56	19705/19705	---M--	200	added ('OK')	image/png	etag:%224cf9-5c47879c7a228%22	https://www.tegra.hu/themes/muvee/templates/blue/img/favicon.png	C:/Users/pc/Desktop/dzdzdzdzd/www.tegra.hu/themes/muvee/templates/blue/img/favicon.png	(from https://www.tegra.hu/themes/muvee/templates/blue/index.html)
14:31:56	146082/146082	---M-Z	200	added ('OK')	text/css	etag:%2223aa2-5c47879943dbd-gzip%22	https://www.tegra.hu/themes/muvee/templates/blue/css/bootstrap.css	C:/Users/pc/Desktop/dzdzdzdzd/www.tegra.hu/themes/muvee/templates/blue/css/bootstrap.css	(from https://www.tegra.hu/themes/muvee/templates/blue/index.html)
14:31:56	47461/47461	---M-Z	200	added ('OK')	text/css	etag:%22b965-5c478798057ec-gzip%22	https://www.tegra.hu/themes/muvee/templates/blue/css/screen.css	C:/Users/pc/Desktop/dzdzdzdzd/www.tegra.hu/themes/muvee/templates/blue/css/screen.css	(from https://www.tegra.hu/themes/muvee/templates/blue/index.html)
14:31:57	1857/1857	---M-Z	200	added ('OK')	text/css	etag:%22741-5c478798d7757-gzip%22	https://www.tegra.hu/themes/muvee/templates/blue/css/animation.css	C:/Users/pc/Desktop/dzdzdzdzd/www.tegra.hu/themes/muvee/templates/blue/css/animation.css	(from https://www.tegra.hu/themes/muvee/templates/blue/index.html)
14:31:57	35106/35106	---M-Z	200	added ('OK')	text/css	etag:%228922-5c478798326ae-gzip%22	https://www.tegra.hu/themes/muvee/templates/blue/css/font-awesome.css	C:/Users/pc/Desktop/dzdzdzdzd/www.tegra.hu/themes/muvee/templates/blue/css/font-awesome.css	(from https://www.tegra.hu/themes/muvee/templates/blue/index.html)
14:31:57	4210/4210	---M-Z	200	added ('OK')	text/css	etag:%221072-5c47879854990-gzip%22	https://www.tegra.hu/themes/muvee/templates/blue/css/lity.css	C:/Users/pc/Desktop/dzdzdzdzd/www.tegra.hu/themes/muvee/templates/blue/css/lity.css	(from https://www.tegra.hu/themes/muvee/templates/blue/index.html)
14:31:58	26070/26070	---M--	200	added ('OK')	image/png	etag:%2265d6-5c47879cd9d6d%22	https://www.tegra.hu/themes/muvee/templates/blue/img/main-logo.png	C:/Users/pc/Desktop/dzdzdzdzd/www.tegra.hu/themes/muvee/templates/blue/img/main-logo.png	(from https://www.tegra.hu/themes/muvee/templates/blue/index.html)
14:31:58	28481/28481	---M--	200	added ('OK')	image/jpeg	etag:%226f41-5c47879e4a020%22	https://www.tegra.hu/themes/muvee/templates/blue/img/banners/banner-sm.jpg	C:/Users/pc/Desktop/dzdzdzdzd/www.tegra.hu/themes/muvee/templates/blue/img/banners/banner-sm.jpg	(from https://www.tegra.hu/themes/muvee/templates/blue/index.html)
14:31:58	122411/122411	---M-Z	200	added ('OK')	text/html	etag:%221de2b-5c47879784965-gzip%22	https://www.tegra.hu/themes/muvee/templates/blue/index2.html	C:/Users/pc/Desktop/dzdzdzdzd/www.tegra.hu/themes/muvee/templates/blue/index2.html	(from https://www.tegra.hu/themes/muvee/templates/blue/index.html)
14:31:58	122409/122409	---M-Z	200	added ('OK')	text/html	etag:%221de29-5c478792c0d85-gzip%22	https://www.tegra.hu/themes/muvee/templates/blue/index3.html	C:/Users/pc/Desktop/dzdzdzdzd/www.tegra.hu/themes/muvee/templates/blue/index3.html	(from https://www.tegra.hu/themes/muvee/templates/blue/index.html)
14:31:58	69627/69627	---M-Z	200	added ('OK')	text/html	etag:%2210ffb-5c478795e1a2f-gzip%22	https://www.tegra.hu/themes/muvee/templates/blue/index4.html	C:/Users/pc/Desktop/dzdzdzdzd/www.tegra.hu/themes/muvee/templates/blue/index4.html	(from https://www.tegra.hu/themes/muvee/templates/blue/index.html)
14:31:59	69627/69627	---M-Z	200	added ('OK')	text/html	etag:%2210ffb-5c4787949d69e-gzip%22	https://www.tegra.hu/themes/muvee/templates/blue/index5.html	C:/Users/pc/Desktop/dzdzdzdzd/www.tegra.hu/themes/muvee/templates/blue/index5.html	(from https://www.tegra.hu/themes/muvee/templates/blue/index.html)
14:31:59	56694/56694	---M-Z	200	added ('OK')	text/html	etag:%22dd76-5c4787969e1d9-gzip%22	https://www.tegra.hu/themes/muvee/templates/blue/single-video.html	C:/Users/pc/Desktop/dzdzdzdzd/www.tegra.hu/themes/muvee/templates/blue/single-video.html	(from https://www.tegra.hu/themes/muvee/templates/blue/index.html)
14:31:59	39791/39791	---M-Z	200	added ('OK')	text/html	etag:%229b6f-5c478793b20f2-gzip%22	https://www.tegra.hu/themes/muvee/templates/blue/single-video-fullwidth.html	C:/Users/pc/Desktop/dzdzdzdzd/www.tegra.hu/themes/muvee/templates/blue/single-video-fullwidth.html	(from https://www.tegra.hu/themes/muvee/templates/blue/index.html)
14:31:59	56741/56741	---M-Z	200	added ('OK')	text/html	etag:%22dda5-5c478792f2a68-gzip%22	https://www.tegra.hu/themes/muvee/templates/blue/single-video-right-sidebar.html	C:/Users/pc/Desktop/dzdzdzdzd/www.tegra.hu/themes/muvee/templates/blue/single-video-right-sidebar.html	(from https://www.tegra.hu/themes/muvee/templates/blue/index.html)
14:32:00	51128/51128	---M-Z	200	added ('OK')	text/html	etag:%22c7b8-5c478793e5d14-gzip%22	https://www.tegra.hu/themes/muvee/templates/blue/single-video-no-sidebar.html	C:/Users/pc/Desktop/dzdzdzdzd/www.tegra.hu/themes/muvee/templates/blue/single-video-no-sidebar.html	(from https://www.tegra.hu/themes/muvee/templates/blue/index.html)
14:32:00	53833/53833	---M-Z	200	added ('OK')	text/html	etag:%22d249-5c4787966d496-gzip%22	https://www.tegra.hu/themes/muvee/templates/blue/single-video-author-bio.html	C:/Users/pc/Desktop/dzdzdzdzd/www.tegra.hu/themes/muvee/templates/blue/single-video-author-bio.html	(from https://www.tegra.hu/themes/muvee/templates/blue/index.html)
14:32:00	39846/39846	---M-Z	200	added ('OK')	text/html	etag:%229ba6-5c478796c81bb-gzip%22	https://www.tegra.hu/themes/muvee/templates/blue/single-post-fullwidth.html	C:/Users/pc/Desktop/dzdzdzdzd/www.tegra.hu/themes/muvee/templates/blue/single-post-fullwidth.html	(from https://www.tegra.hu/themes/muvee/templates/blue/index.html)
14:32:00	30271/30271	---M-Z	200	added ('OK')	text/html	etag:%22763f-5c4787922f55d-gzip%22	https://www.tegra.hu/themes/muvee/templates/blue/single-page.html	C:/Users/pc/Desktop/dzdzdzdzd/www.tegra.hu/themes/muvee/templates/blue/single-page.html	(from https://www.tegra.hu/themes/muvee/templates/blue/index.html)
14:32:00	30653/30653	---M-Z	200	added ('OK')	text/html	etag:%2277bd-5c478793813af-gzip%22	https://www.tegra.hu/themes/muvee/templates/blue/single-page-with-img.html	C:/Users/pc/Desktop/dzdzdzdzd/www.tegra.hu/themes/muvee/templates/blue/single-page-with-img.html	(from https://www.tegra.hu/themes/muvee/templates/blue/index.html)
14:32:01	41684/41684	---M-Z	200	added ('OK')	text/html	etag:%22a2d4-5c47879412bd7-gzip%22	https://www.tegra.hu/themes/muvee/templates/blue/review.html	C:/Users/pc/Desktop/dzdzdzdzd/www.tegra.hu/themes/muvee/templates/blue/review.html	(from https://www.tegra.hu/themes/muvee/templates/blue/index.html)
14:32:01	68077/68077	---M-Z	200	added ('OK')	text/html	etag:%22109ed-5c478794dce41-gzip%22	https://www.tegra.hu/themes/muvee/templates/blue/carousels.html	C:/Users/pc/Desktop/dzdzdzdzd/www.tegra.hu/themes/muvee/templates/blue/carousels.html	(from https://www.tegra.hu/themes/muvee/templates/blue/index.html)
14:32:01	45597/45597	---M-Z	200	added ('OK')	text/html	etag:%22b21d-5c478793208ca-gzip%22	https://www.tegra.hu/themes/muvee/templates/blue/author.html	C:/Users/pc/Desktop/dzdzdzdzd/www.tegra.hu/themes/muvee/templates/blue/author.html	(from https://www.tegra.hu/themes/muvee/templates/blue/index.html)
14:32:01	21973/21973	---M-Z	200	added ('OK')	text/html	etag:%2255d5-5c478796f313e-gzip%22	https://www.tegra.hu/themes/muvee/templates/blue/login.html	C:/Users/pc/Desktop/dzdzdzdzd/www.tegra.hu/themes/muvee/templates/blue/login.html	(from https://www.tegra.hu/themes/muvee/templates/blue/index.html)
14:32:02	23713/23713	---M-Z	200	added ('OK')	text/html	etag:%225ca1-5c47879534c86-gzip%22	https://www.tegra.hu/themes/muvee/templates/blue/contact.html	C:/Users/pc/Desktop/dzdzdzdzd/www.tegra.hu/themes/muvee/templates/blue/contact.html	(from https://www.tegra.hu/themes/muvee/templates/blue/index.html)
14:32:02	55833/55833	---M-Z	200	added ('OK')	text/html	etag:%22da19-5c47879285462-gzip%22	https://www.tegra.hu/themes/muvee/templates/blue/search.html	C:/Users/pc/Desktop/dzdzdzdzd/www.tegra.hu/themes/muvee/templates/blue/search.html	(from https://www.tegra.hu/themes/muvee/templates/blue/index.html)
14:32:02	19602/19602	---M-Z	200	added ('OK')	text/html	etag:%224c92-5c47879506e24-gzip%22	https://www.tegra.hu/themes/muvee/templates/blue/404.html	C:/Users/pc/Desktop/dzdzdzdzd/www.tegra.hu/themes/muvee/templates/blue/404.html	(from https://www.tegra.hu/themes/muvee/templates/blue/index.html)
14:32:02	69138/69138	---M-Z	200	added ('OK')	text/html	etag:%2210e12-5c47879567909-gzip%22	https://www.tegra.hu/themes/muvee/templates/blue/category.html	C:/Users/pc/Desktop/dzdzdzdzd/www.tegra.hu/themes/muvee/templates/blue/category.html	(from https://www.tegra.hu/themes/muvee/templates/blue/index.html)
14:32:02	49883/49883	---M-Z	200	added ('OK')	text/html	etag:%22c2db-5c4787935548d-gzip%22	https://www.tegra.hu/themes/muvee/templates/blue/category2.html	C:/Users/pc/Desktop/dzdzdzdzd/www.tegra.hu/themes/muvee/templates/blue/category2.html	(from https://www.tegra.hu/themes/muvee/templates/blue/index.html)
14:32:03	56108/56108	---M-Z	200	added ('OK')	text/html	etag:%22db2c-5c47879751ce2-gzip%22	https://www.tegra.hu/themes/muvee/templates/blue/category3.html	C:/Users/pc/Desktop/dzdzdzdzd/www.tegra.hu/themes/muvee/templates/blue/category3.html	(from https://www.tegra.hu/themes/muvee/templates/blue/index.html)
14:32:03	36171/36171	---M-Z	200	added ('OK')	text/html	etag:%228d4b-5c4787971f060-gzip%22	https://www.tegra.hu/themes/muvee/templates/blue/gallery-video-boxed.html	C:/Users/pc/Desktop/dzdzdzdzd/www.tegra.hu/themes/muvee/templates/blue/gallery-video-boxed.html	(from https://www.tegra.hu/themes/muvee/templates/blue/index.html)
14:32:03	27582/27582	---M-Z	200	added ('OK')	text/html	etag:%226bbe-5c47879468adb-gzip%22	https://www.tegra.hu/themes/muvee/templates/blue/gallery-video-fullwidth.html	C:/Users/pc/Desktop/dzdzdzdzd/www.tegra.hu/themes/muvee/templates/blue/gallery-video-fullwidth.html	(from https://www.tegra.hu/themes/muvee/templates/blue/index.html)
14:32:04	68545/68545	---M--	200	added ('OK')	image/jpeg	etag:%2210bc1-5c4787a50a8bb%22	https://www.tegra.hu/themes/muvee/templates/blue/img/thumbs/thumb-s.jpg	C:/Users/pc/Desktop/dzdzdzdzd/www.tegra.hu/themes/muvee/templates/blue/img/thumbs/thumb-s.jpg	(from https://www.tegra.hu/themes/muvee/templates/blue/index.html)
